,gen,gen err,DP pre,DP pre err,DP dbn,DP dbn err,DP pos,DP pos err,CD4 spl,CD4 spl err,CD4 negS,CD4 negS err,CD8 spl,CD8 spl err,CD8 negS,CD8 negS err
4,1.0000033333444445e-05,5.773541182010429e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3.66667888892963e-05,1.1055637075372265e-05,0.0,0.0,0.0,0.0,1.6605227325562086e-05,1.1741717587813333e-05,0.0,0.0,0.0,0.0,1.3418856176699498e-05,1.3418856176699498e-05,0.0,0.0
6,0.00019333397777992594,2.538840652784194e-05,6.605194324817036e-05,2.9539912347495508e-05,0.0,0.0,5.81182956394673e-05,2.1967198114059024e-05,1.9152685206465947e-05,1.9152685206465947e-05,8.885729518393461e-05,8.885729518393461e-05,6.70942808834975e-05,3.0006279848078017e-05,0.0,0.0
7,0.0008033360111200371,5.1768116309391287e-05,0.0002509973843430474,5.758921446407386e-05,0.0002011465352509303,0.00010057073948380028,0.00044834113779017635,6.1024923133413356e-05,0.0002489849076840573,6.906392361251541e-05,0.0002665718855518038,0.00015391902367232777,0.00024153941118059097,5.693787834204562e-05,0.0002300966405890474,0.00023001728323521656
8,0.002650008833362778,9.411042060933313e-05,0.0010568310919707258,0.00011821816609256404,0.0004525797043145932,0.00015087506933502253,0.0009298927302314768,8.790708277098768e-05,0.0005745805561939783,0.00010493270582701677,0.0007997156566554114,0.00026666660773141287,0.0009929953570757628,0.00011548988885246997,0.0006902899217671422,0.00039849326042938333
9,0.007970026566755222,0.00016364135469811215,0.002787392005072789,0.00019215669379557302,0.0031680579302021524,0.0003997192796844668,0.003478795124705257,0.00017024491080324837,0.0022600168543629815,0.0002082843877917539,0.002932290741069842,0.0005111714292928334,0.0029789860712272887,0.00020023269306498797,0.001150483202945237,0.0005145708656323104
10,0.02526341754472515,0.00029383474840327217,0.01203466405981664,0.00040111300237180174,0.01131449260786483,0.0007584594176968933,0.01677958221248049,0.00037636531415181023,0.01162567992032483,0.00047460223594224547,0.01368402345832593,0.0011101596955627874,0.015928182281742306,0.00046598232911923787,0.01403589507593189,0.0018088480761017818
11,0.06961023203410678,0.0004981827524043393,0.04289413194536183,0.0007687251923864706,0.03902242783868048,0.0014277142540464304,0.05314503005546146,0.0006816807526648803,0.04158047958323757,0.0009107555774534435,0.04256264439310467,0.001985603965778428,0.05248114650707174,0.0008609217002784196,0.04325816843074091,0.0032209600042024757
12,0.14259380864602883,0.0007369459566576306,0.12714999075272795,0.0013759450260378474,0.12063763451674545,0.0026070280229197845,0.1561472551559231,0.0012242760831771952,0.14586685053244464,0.0017891883318004336,0.15318997689710326,0.003961802805250266,0.1574836960897453,0.0015639759698142216,0.15278416935112749,0.006363097123355176
13,0.2123273744245814,0.0009263014058692736,0.23182911041242835,0.0019422774863996604,0.23111736900331892,0.003782140978399725,0.27024177210986017,0.0016882044757087961,0.3043361679307439,0.0027572886229199106,0.3099342456015639,0.006006020096988963,0.24932234776307668,0.0020444321103033486,0.25172572480441785,0.00851086614894305
14,0.22571408571361903,0.0009603140705053286,0.2752780786810748,0.0021534774166284895,0.27250326863119784,0.004175293434295933,0.2797897778220584,0.001724212749877297,0.2980157818126101,0.002721888273023563,0.2956282210769504,0.005833650344089975,0.2966103969297657,0.002271709373948492,0.30395766221813164,0.009545389723554442
15,0.17000056666855556,0.0008142496737000381,0.18468123332188432,0.0017000597987119515,0.18837373026249624,0.0033547362515187738,0.14584371160041182,0.0011779101360931555,0.1374013636711867,0.001730067589258734,0.13497423138439665,0.003689314532100286,0.15069375486433537,0.0015253950771164987,0.15163368614818223,0.006335930397763451
16,0.09218364061213537,0.0005793141468111025,0.08827181695685488,0.001126501526223031,0.09609775721613195,0.002301192563263049,0.0558433794958653,0.0006996667070912777,0.04631119282923466,0.0009633499864223881,0.03625377643504532,0.0018269932364873096,0.057942620970988436,0.0009069533727410078,0.06143580303727566,0.0038718008204953725
17,0.03642678808929363,0.000354747323127302,0.027755026552881187,0.0006138576727780083,0.029568540681886756,0.001237126952610413,0.014338613795622863,0.0003474966922259816,0.01011261778901402,0.0004423106241217764,0.007997156566554114,0.0008463007059631556,0.013324924183462601,0.0004256587555368489,0.019098021168890936,0.0021152297003854503
18,0.010300034333447778,0.00018624468708948436,0.005006737298211313,0.0002578184239287447,0.007542995071909886,0.0006181237024220069,0.0025489023944737805,0.00014565821972563787,0.0016471309277560713,0.00017775921063852872,0.0016882886084947574,0.00038762956469325874,0.0017847078715010332,0.00015489079318299777,0.0,0.0
19,0.0026600088666962223,9.428829043359741e-05,0.0009379375941240191,0.00011136343213358624,0.0,0.0,0.00031549931918567963,5.1188608533757644e-05,0.0,0.0,0.0,0.0,0.000134188561766995,4.2436711380695485e-05,0.0,0.0
20,0.0007733359111197038,5.079153340046387e-05,0.0,0.0,0.0,0.0,7.472352296502939e-05,2.490866816846369e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0003433344777815926,3.383550188511204e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,9.666698888996297e-05,1.795144686802933e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,4.3333477778259264e-05,1.2018784681843615e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
