"","name","x","y"
"TRAV4-3","TRAV4-3",0.609867546756555,0.698381359451055
"TRAV6-5","TRAV6-5",-0.308967939858342,0.870033267305277
"TRAV21/DV12","TRAV21/DV12",-0.283658953900209,0.876836247446604
"TRAV14-1","TRAV14-1",0.871279624396255,-0.284728163437567
"TRAV13-5","TRAV13-5",-0.471193797472965,0.776179036948619
