,$P_{gen}$,DP pre,DP dbn,DP pos,CD4 spl,CD4 negS,CD8 spl,CD8 negS
$P_{gen}$,0.0,0.011866738179511671,0.016764791809222857,0.009694909118397987,0.012786260203363042,0.017202376523600904,0.015358561260221393,0.016761220268605825
DP pre,0.011866738179511671,0.0,0.0017725139121367306,0.015717552143529545,0.01904132866439845,0.027433875242326877,0.02616862969851752,0.025918203963804842
DP dbn,0.016764791809222857,0.0017725139121367306,0.0,0.021666335678688142,0.024952394970055636,0.033796482939999706,0.03258476521740228,0.03111762239198157
DP pos,0.009694909118397987,0.015717552143529545,0.021666335678688142,0.0,0.008595233624232534,0.010326625444371018,0.007292941283655097,0.008815083848404015
CD4 spl,0.012786260203363042,0.01904132866439845,0.024952394970055636,0.008595233624232534,0.0,0.0030698922421823482,0.018339322490945165,0.020820926663297712
CD4 negS,0.017202376523600904,0.027433875242326877,0.033796482939999706,0.010326625444371018,0.0030698922421823482,0.0,0.01970833179511189,0.022834979979322156
CD8 spl,0.015358561260221393,0.02616862969851752,0.03258476521740228,0.007292941283655097,0.018339322490945165,0.01970833179511189,0.0,0.002602193193988356
CD8 negS,0.016761220268605825,0.025918203963804842,0.03111762239198157,0.008815083848404015,0.020820926663297712,0.022834979979322156,0.002602193193988356,0.0
