,NSB,stdDev,how
DP pre,6.91678,0.01069,sample
DP pos,6.97574,0.00625,sample
DP dbn,6.90848,0.00971,sample
CD4 spl,6.86838,0.00654,sample
CD4 negS,6.88028,0.0103,sample
CD8 spl,6.97932,0.00819,sample
CD8 negS,6.9689,0.01067,sample
