,NSB,stdDev,how
DP pre,10.5315,0.01834,sample
DP pos,10.53156,0.01938,sample
DP dbn,10.50177,0.02178,sample
CD4 spl,10.33716,0.0174,sample
CD4 negS,10.30362,0.0237,sample
CD8 spl,10.47125,0.01984,sample
CD8 negS,10.45849,0.02263,sample
