,$P_{gen}$,DP pre,DP dbn,DP pos,CD4 spl,CD4 negS,CD8 spl,CD8 negS
$P_{gen}$,0.0,0.054350048303604126,0.05646297335624695,0.062065571546554565,0.08696779608726501,0.08979207277297974,0.07125172019004822,0.06268483400344849
DP pre,0.054350048303604126,0.0,0.008993029594421387,0.041952699422836304,0.06270614266395569,0.08292165398597717,0.06456795334815979,0.06636688113212585
DP dbn,0.05646297335624695,0.008993029594421387,0.0,0.057235270738601685,0.07602164149284363,0.09438258409500122,0.0807580053806305,0.07489508390426636
DP pos,0.062065571546554565,0.041952699422836304,0.057235270738601685,0.0,0.03400939702987671,0.04074832797050476,0.028471320867538452,0.03611069917678833
CD4 spl,0.08696779608726501,0.06270614266395569,0.07602164149284363,0.03400939702987671,0.0,0.013834387063980103,0.06507298350334167,0.07316794991493225
CD4 negS,0.08979207277297974,0.08292165398597717,0.09438258409500122,0.04074832797050476,0.013834387063980103,0.0,0.06931817531585693,0.07582435011863708
CD8 spl,0.07125172019004822,0.06456795334815979,0.0807580053806305,0.028471320867538452,0.06507298350334167,0.06931817531585693,0.0,0.018386781215667725
CD8 negS,0.06268483400344849,0.06636688113212585,0.07489508390426636,0.03611069917678833,0.07316794991493225,0.07582435011863708,0.018386781215667725,0.0
