,NSB,stdDev,how
DP pre,9.0929,0.01158,sample
DP pos,9.12126,0.0156,sample
DP dbn,9.08354,0.01432,sample
CD4 spl,8.95801,0.01343,sample
CD4 negS,8.95945,0.01376,sample
CD8 spl,9.09356,0.01365,sample
CD8 negS,9.06946,0.0129,sample
