,NSB,stdDev,how
DP pre,3.86754,0.00316,sample
DP pos,3.9113,0.00344,sample
DP dbn,3.86978,0.00394,sample
CD4 spl,3.85216,0.00404,sample
CD4 negS,3.87271,0.00387,sample
CD8 spl,3.91163,0.00433,sample
CD8 negS,3.92368,0.00348,sample
